Round,LoRA_Accuracy,LoRA_Comm,LoRA_Loss,LoRA_SelectedClients,LoRA_TFLOPs,Original_Accuracy,Original_Comm,Original_Loss,Original_SelectedClients,Original_TFLOPs
1,17.86,4,2.871243153898099,"[7, 3]",0.0013162235756906076,11.96,4.0,2.876507508488128,"[9, 3]",0.0041381024079404
2,13.120000000000001,4,2.961070924521254,"[9, 0]",0.0011036765522170749,13.58,4.0,3.441854009232201,"[0, 5]",0.0036174734715835
3,18.14,6,3.7863749391354693,"[9, 1]",0.0012548196165537999,9.8,6.0,3.9544279232573585,"[2, 0]",0.0029257110007017
4,9.82,4,3.357912113110478,"[4, 6]",0.0012778967589272031,17.97,4.0,3.5552243714134533,"[7, 6]",0.0026345264935229
5,20.43,8,4.0819597419458455,"[1, 0]",0.001425346384957265,11.48,6.0,3.697893214301941,"[9, 1]",0.0028409800177172
6,13.639999999999999,8,4.359817651894907,"[1, 5]",0.0012491799778277153,17.380000000000003,10.0,3.9669691777457823,"[0, 6]",0.0036411687126637
7,15.409999999999998,12,5.011778607536048,"[5, 1]",0.0011044074638410597,19.36,6.0,3.221346571803474,"[4, 3]",0.0031055032968342
8,9.879999999999999,10,4.463396949889941,"[9, 4]",0.0012190462502923976,17.24,14.0,3.788719235898588,"[6, 0]",0.0032381655735922
9,16.0,14,3.6935674153958646,"[1, 3]",0.0011727533547116738,15.17,12.0,3.7956307551350457,"[9, 3]",0.0037815312253968
10,20.41,18,4.5990378803338485,"[4, 1]",0.0012828117464615384,18.21,12.0,3.90566698278482,"[6, 7]",0.0039331492226415
11,19.21,18,4.297185350149965,"[1, 6]",0.0012049532300578035,19.4,16.0,5.022245835953246,"[7, 6]",0.0027840655599332
12,23.54,6,2.8982123300290334,"[7, 2]",0.0011735786561576354,16.32,20.0,4.812532586411546,"[6, 9]",0.0032571392
13,11.99,12,3.632144394012305,"[5, 3]",0.001262418826949281,19.25,14.0,3.846802593420108,"[0, 4]",0.002915481241958
14,13.15,12,4.1446850772102035,"[2, 3]",0.0012262171105882353,21.44,14.0,3.6570802138636287,"[2, 9]",0.0036096434424242
15,18.73,12,4.040597206487442,"[2, 0]",0.0011329179826086956,13.83,8.0,3.5029673203111837,"[5, 1]",0.0031825482259541
16,12.07,16,3.9117191477705497,"[9, 0]",0.001461573418404908,11.16,10.0,2.8473805215792916,"[8, 7]",0.003459865706224
17,21.46,16,3.8474376567255573,"[7, 9]",0.0012417388461653015,18.08,20.0,3.1568883181380007,"[2, 6]",0.003496132642348
18,14.000000000000002,14,3.0745226834147883,"[8, 9]",0.0014680064,17.01,16.0,3.213932559132195,"[3, 2]",0.0027794254506666
19,19.220000000000002,16,3.104367349856197,"[3, 6]",0.00123897122615156,19.55,18.0,2.8506066700140127,"[4, 0]",0.0032008738395393
20,19.439999999999998,26,3.346090492729943,"[3, 9]",0.0011556862580734582,19.57,16.0,3.4413177304374525,"[7, 5]",0.0031055032968342
21,22.689999999999998,32,3.242914461861022,"[9, 1]",0.0012353002002962962,18.11,20.0,4.6628409605056715,"[7, 5]",0.0028409800177172
22,18.38,16,3.2297661053106044,"[5, 2]",0.001219938017849305,13.85,14.0,3.188659389178974,"[8, 3]",0.0042870315434447
23,22.939999999999998,26,2.6573520422743533,"[4, 1]",0.0012837992843725942,20.1,22.0,3.042940020180358,"[4, 0]",0.0037224448
24,27.839999999999996,26,2.8189587897766892,"[7, 9]",0.0012739918032085562,25.629999999999995,24.0,3.1995989423209488,"[7, 2]",0.0031584380121212
25,21.51,24,3.012731299232751,"[3, 7]",0.0011430125225496916,24.75,22.0,3.3728191684991025,"[4, 3]",0.0037224448
26,23.77,22,3.132403909588774,"[4, 7]",0.0017192322375257731,14.37,26.0,3.159789091481949,"[5, 0]",0.0030321004916363
27,19.62,30,3.8115211431972518,"[3, 7]",0.0014037502276094277,17.72,28.0,3.3684493954570147,"[4, 6]",0.0034888185573221
28,18.029999999999998,28,3.3378950422183395,"[2, 3]",0.0012075707968139029,25.180000000000003,32.0,3.183650064773072,"[3, 0]",0.0036813582128035
29,19.99,28,2.852176076687944,"[9, 6]",0.001208445848115942,25.36,34.0,3.8336305686841,"[3, 6]",0.0031584380121212
30,16.439999999999998,20,3.492527974680209,"[5, 6]",0.0012307418969741697,27.6,26.0,3.371781041446966,"[2, 4]",0.0039706077866666
31,18.52,24,3.5574785566177614,"[4, 6]",0.001274965803058104,24.88,18.0,2.396754439265583,"[9, 8]",0.0036411687126637
32,19.27,34,3.355877291280241,"[2, 9]",0.0014351594409638554,21.98,32.0,3.0468444001560395,"[3, 2]",0.0033088398222222
33,10.79,28,2.887970024023574,"[9, 8]",0.001219938017849305,32.37,36.0,2.4929171553054177,"[6, 7]",0.002485328271833
34,24.310000000000002,36,2.2221762280875503,"[7, 1]",0.001183573648261178,20.96,30.0,3.1458253045432483,"[5, 7]",0.0038248974091743
35,15.67,32,2.7764795565376645,"[3, 5]",0.0012280230268041238,21.6,30.0,2.8556026806846595,"[9, 2]",0.004365589713089
36,24.44,40,2.744446926985305,"[9, 4]",0.0014996899913669065,27.27,42.0,2.481460806279898,"[0, 6]",0.0028409800177172
37,30.28,26,2.6133454790511452,"[0, 4]",0.0012463791258594918,21.65,38.0,3.379125516635541,"[6, 5]",0.0035482027029787
38,26.619999999999997,40,2.7463048456575923,"[7, 3]",0.0012190462502923976,26.76,34.0,2.6672207962590666,"[4, 2]",0.0035108532008421
39,29.270000000000003,38,2.7930912042197327,"[6, 3]",0.001457740620979021,29.2,38.0,2.8194924516799733,"[4, 7]",0.0031825482259541
40,18.92,32,2.9190053265696516,"[4, 5]",0.0011014896105680317,27.63,46.0,2.784880138052919,"[4, 6]",0.0035557681671641
41,21.92,28,3.2020331609744233,"[0, 5]",0.00123897122615156,33.739999999999995,36.0,2.383161131566325,"[9, 3]",0.0028802336276338
42,21.240000000000002,30,2.981737185590945,"[0, 6]",0.0012998092520654717,26.66,44.0,3.258346708437886,"[7, 3]",0.00237896614893
43,18.58,22,2.5217916592241476,"[0, 8]",0.0013038743318217357,24.28,44.0,3.3129661433612956,"[2, 7]",0.0039706077866666
44,23.9,46,2.6478172780606695,"[0, 9]",0.001494314758422939,29.03,48.0,3.1004027501462748,"[7, 0]",0.0044709256579088
45,23.56,38,2.6754923483815056,"[0, 6]",0.0012316508644017725,35.160000000000004,52.0,2.9133041129706387,"[6, 3]",0.00266824843264
46,21.95,50,2.728305589276762,"[9, 4]",0.001227119404267844,32.47,30.0,2.1666650714965674,"[8, 4]",0.0034815350112734
47,25.16,38,2.8457395790484004,"[7, 5]",0.001471893442541924,39.900000000000006,36.0,1.9000091107127768,"[6, 1]",0.0026854352180354
48,25.130000000000003,30,2.612620760076724,"[0, 8]",0.0012280230268041238,28.9,42.0,2.0410691831058587,"[4, 9]",0.0034815350112734
49,40.410000000000004,42,2.086524208132832,"[6, 1]",0.0014564674850655022,26.75,42.0,2.546406199376042,"[2, 9]",0.0036813582128035
50,35.75,44,2.6577544120934826,"[6, 4]",0.0012548196165537999,29.21,52.0,2.2186574509349493,"[3, 4]",0.003396446579226
