Round,Accuracy,TotalComm,AvgTFlops
1,20.93,4,0
2,21.099999999999998,8,0
3,21.099999999999998,12,0
4,21.12,16,0
5,21.12,20,0
6,21.12,24,0
7,9.76,28,0
8,21.12,32,0
9,38.07,36,0
10,25.21,40,0
11,32.99,44,0
12,32.15,48,0
13,33.89,52,0
14,39.379999999999995,56,0
15,38.29,60,0
16,38.800000000000004,64,0
17,23.549999999999997,68,0
18,38.22,72,0
19,40.050000000000004,76,0
20,44.2,80,0
21,39.65,84,0
22,28.749999999999996,88,0
23,35.13,92,0
24,42.63,96,0
25,29.53,100,0
26,45.92,104,0
27,48.8,108,0
28,50.03999999999999,112,0
29,49.769999999999996,116,0
30,53.74,120,0
31,51.55,124,0
32,37.669999999999995,128,0
33,43.5,132,0
34,46.0,136,0
35,53.900000000000006,140,0
36,52.92,144,0
37,55.52,148,0
38,57.36,152,0
39,39.24,156,0
40,46.67,160,0
41,56.82000000000001,164,0
42,55.13,168,0
43,55.58,172,0
44,56.730000000000004,176,0
45,64.31,180,0
46,62.09,184,0
47,59.47,188,0
48,59.650000000000006,192,0
49,59.29,196,0
50,68.41000000000001,200,0
51,66.36999999999999,204,0
52,67.41,208,0
53,71.44,212,0
54,32.33,216,0
55,58.589999999999996,220,0
56,65.52,224,0
57,52.5,228,0
58,49.0,232,0
59,58.57,236,0
60,64.89,240,0
61,40.6,244,0
62,60.589999999999996,248,0
63,62.260000000000005,252,0
64,67.43,256,0
65,66.34,260,0
66,68.11,264,0
67,64.28,268,0
68,68.08999999999999,272,0
69,69.56,276,0
70,66.97999999999999,280,0
71,68.01,284,0
72,66.83,288,0
73,58.48,292,0
74,67.29,296,0
75,69.24,300,0
76,68.96,304,0
77,66.11,308,0
78,72.39,312,0
79,77.49000000000001,316,0
80,73.87,320,0
81,60.78,324,0
82,66.47999999999999,328,0
83,56.57,332,0
84,69.57,336,0
85,67.91,340,0
86,63.81,344,0
87,61.56,348,0
88,58.9,352,0
89,56.910000000000004,356,0
90,55.43,360,0
91,54.379999999999995,364,0
92,55.559999999999995,368,0
93,64.09,372,0
94,64.68,376,0
95,71.27,380,0
96,65.07,384,0
97,60.870000000000005,388,0
98,58.52,392,0
99,68.94,396,0
100,63.27,400,0
101,58.81999999999999,404,0
102,55.76,408,0
103,53.790000000000006,412,0
104,52.239999999999995,416,0
105,50.96000000000001,420,0
106,49.93,424,0
107,49.08,428,0
108,48.38,432,0
109,47.71,436,0
110,47.15,440,0
111,46.54,444,0
112,46.19,448,0
113,45.85,452,0
114,45.440000000000005,456,0
115,45.12,460,0
116,44.800000000000004,464,0
117,44.58,468,0
118,44.37,472,0
119,44.17,476,0
120,43.89,480,0
121,43.63,484,0
122,43.36,488,0
123,43.19,492,0
124,43.01,496,0
125,42.78,500,0
126,42.620000000000005,504,0
127,42.44,508,0
128,42.26,512,0
129,42.089999999999996,516,0
130,41.92,520,0
131,41.760000000000005,524,0
132,41.65,528,0
133,41.49,532,0
134,41.43,536,0
135,41.28,540,0
136,41.22,544,0
137,41.17,548,0
138,41.08,552,0
139,41.02,556,0
140,41.010000000000005,560,0
141,40.94,564,0
142,40.839999999999996,568,0
143,40.78,572,0
144,40.72,576,0
145,40.65,580,0
146,40.550000000000004,584,0
147,40.47,588,0
148,40.410000000000004,592,0
149,40.35,596,0
150,40.33,600,0
151,40.29,604,0
152,40.22,608,0
153,40.17,612,0
154,40.11,616,0
155,40.06,620,0
156,39.97,624,0
157,39.93,628,0
158,39.83,632,0
159,39.78,636,0
160,39.739999999999995,640,0
161,39.69,644,0
162,39.64,648,0
163,39.6,652,0
164,39.519999999999996,656,0
165,39.489999999999995,660,0
166,39.39,664,0
167,39.34,668,0
168,39.34,672,0
169,39.269999999999996,676,0
170,39.2,680,0
171,39.14,684,0
172,39.11,688,0
173,39.050000000000004,692,0
174,39.01,696,0
175,38.93,700,0
176,38.9,704,0
177,38.87,708,0
178,38.84,712,0
179,38.83,716,0
180,38.82,720,0
181,38.769999999999996,724,0
182,38.73,728,0
183,38.690000000000005,732,0
184,38.65,736,0
185,38.62,740,0
186,38.6,744,0
187,38.58,748,0
188,38.53,752,0
189,38.519999999999996,756,0
190,38.51,760,0
191,38.51,764,0
192,38.5,768,0
193,38.48,772,0
194,38.41,776,0
195,38.41,780,0
196,38.34,784,0
197,38.33,788,0
198,38.29,792,0
199,38.269999999999996,796,0
200,38.23,800,0
