Experiment,Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Avg T-FLOPs
"Exp_A: grc=False, freeze=False",1,10.73,4,"9,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",2,9.8,8,"0,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",3,18.9,12,"2,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",4,18.8,16,"7,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",5,20.169999999999998,20,"9,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",6,14.74,24,"0,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",7,19.900000000000002,28,"4,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",8,17.96,32,"6,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",9,26.150000000000002,36,"9,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",10,33.12,40,"6,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",11,20.810000000000002,44,"7,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",12,10.290000000000001,48,"6,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",13,16.23,52,"0,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",14,26.840000000000003,56,"2,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",15,14.04,60,"5,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",16,13.05,64,"8,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",17,25.119999999999997,68,"2,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",18,18.61,72,"3,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",19,21.55,76,"4,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",20,15.67,80,"7,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",21,9.17,84,"7,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",22,18.65,88,"8,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",23,29.68,92,"4,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",24,28.96,96,"7,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",25,32.35,100,"4,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",26,33.48,104,"5,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",27,32.36,108,"4,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",28,37.21,112,"3,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",29,33.839999999999996,116,"3,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",30,34.910000000000004,120,"2,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",31,27.779999999999998,124,"9,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",32,30.2,128,"3,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",33,43.34,132,"6,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",34,37.69,136,"5,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",35,31.759999999999998,140,"9,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",36,32.45,144,"0,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",37,29.25,148,"6,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",38,34.99,152,"4,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",39,39.58,156,"4,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",40,39.269999999999996,160,"4,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",41,36.46,164,"9,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",42,32.58,168,"7,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",43,31.96,172,"2,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",44,37.43,176,"7,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",45,39.32,180,"6,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",46,54.2,184,"8,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",47,53.449999999999996,188,"6,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",48,36.04,192,"4,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",49,45.48,196,"2,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",50,41.38,200,"3,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",51,42.16,204,"2,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",52,39.2,208,"5,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",53,39.1,212,"9,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",54,45.57,216,"0,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",55,49.03,220,"2,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",56,47.23,224,"9,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",57,39.56,228,"4,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",58,43.169999999999995,232,"0,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",59,44.09,236,"9,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",60,52.71,240,"1,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",61,48.480000000000004,244,"4,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",62,52.16,248,"9,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",63,37.51,252,"8,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",64,40.39,256,"1,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",65,44.769999999999996,260,"8,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",66,48.49,264,"0,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",67,62.949999999999996,268,"6,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",68,57.330000000000005,272,"5,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",69,61.17,276,"1,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",70,55.98,280,"6,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",71,53.839999999999996,284,"9,4",NA,NA,3578880.0
