Round,Accuracy_NoFreeze,TotalComm_NoFreeze,AvgTFlops_NoFreeze,Accuracy_Freeze,TotalComm_Freeze,AvgTFlops_Freeze
1,12.46,4,1393240.0,13.29,4,1192640.0
2,10.05,8,1393240.0,12.18,8,1192640.0
3,18.52,12,1393240.0,17.59,12,1192640.0
4,19.42,16,1393240.0,24.959999999999997,16,1192640.0
5,21.78,20,1393240.0,10.4,20,1192640.0
6,17.419999999999998,24,1393240.0,16.580000000000002,24,1192640.0
7,19.56,28,1393240.0,19.189999999999998,28,1192640.0
8,18.35,32,1393240.0,10.459999999999999,32,1192640.0
9,31.97,36,1393240.0,19.71,36,1192640.0
10,35.66,40,1393240.0,22.99,40,1192640.0
11,26.44,44,1393240.0,14.95,44,1192640.0
12,16.13,48,1393240.0,20.9,48,1192640.0
13,27.389999999999997,52,1393240.0,25.009999999999998,52,1192640.0
14,28.689999999999998,56,1393240.0,20.91,56,1192640.0
15,28.13,60,1393240.0,28.38,60,1192640.0
16,28.060000000000002,64,1393240.0,18.32,64,1192640.0
17,29.020000000000003,68,1393240.0,13.68,68,1192640.0
18,22.05,72,1393240.0,17.32,72,1192640.0
19,40.92,76,1393240.0,17.09,76,1192640.0
20,29.82,80,1393240.0,24.73,80,1192640.0
21,23.9,84,1393240.0,40.12,84,1192640.0
22,35.370000000000005,88,1393240.0,29.020000000000003,88,1192640.0
23,36.54,92,1393240.0,31.0,92,1192640.0
24,40.410000000000004,96,1393240.0,28.13,96,1192640.0
25,41.339999999999996,100,1393240.0,38.629999999999995,100,1192640.0
26,39.21,104,1393240.0,47.65,104,1192640.0
27,37.3,108,1393240.0,37.28,108,1192640.0
28,44.04,112,1393240.0,53.74,112,1192640.0
29,41.52,116,1393240.0,31.680000000000003,116,1192640.0
30,36.47,120,1393240.0,30.97,120,1192640.0
31,37.47,124,1393240.0,35.04,124,1192640.0
32,36.9,128,1393240.0,47.660000000000004,128,1192640.0
33,41.8,132,1393240.0,47.97,132,1192640.0
34,37.7,136,1393240.0,44.81,136,1192640.0
35,37.940000000000005,140,1393240.0,56.81,140,1192640.0
36,36.79,144,1393240.0,58.77,144,1192640.0
37,35.25,148,1393240.0,56.79,148,1192640.0
38,41.699999999999996,152,1393240.0,51.800000000000004,152,1192640.0
39,47.370000000000005,156,1393240.0,55.25,156,1192640.0
40,54.690000000000005,160,1393240.0,59.550000000000004,160,1192640.0
41,48.559999999999995,164,1393240.0,49.519999999999996,164,1192640.0
42,40.79,168,1393240.0,56.830000000000005,168,1192640.0
43,43.269999999999996,172,1393240.0,52.1,172,1192640.0
44,45.04,176,1393240.0,59.95,176,1192640.0
45,48.82,180,1393240.0,59.150000000000006,180,1192640.0
46,59.64,184,1393240.0,52.99,184,1192640.0
47,62.019999999999996,188,1393240.0,65.48,188,1192640.0
48,59.089999999999996,192,1393240.0,68.91000000000001,192,1192640.0
49,52.01,196,1393240.0,63.91,196,1192640.0
50,58.19,200,1393240.0,56.69,200,1192640.0
51,54.120000000000005,204,1393240.0,61.8,204,1192640.0
52,59.78,208,1393240.0,66.60000000000001,208,1192640.0
53,50.529999999999994,212,1393240.0,62.2,212,1192640.0
54,60.06,216,1393240.0,65.46,216,1192640.0
55,58.919999999999995,220,1393240.0,61.760000000000005,220,1192640.0
56,62.69,224,1393240.0,55.84,224,1192640.0
57,49.79,228,1393240.0,57.809999999999995,228,1192640.0
58,51.25999999999999,232,1393240.0,58.32000000000001,232,1192640.0
59,52.910000000000004,236,1393240.0,67.44,236,1192640.0
60,60.370000000000005,240,1393240.0,67.33,240,1192640.0
61,56.510000000000005,244,1393240.0,57.13,244,1192640.0
62,60.25,248,1393240.0,49.05,248,1192640.0
63,47.449999999999996,252,1393240.0,68.93,252,1192640.0
64,52.669999999999995,256,1393240.0,65.38000000000001,256,1192640.0
