Round,Accuracy_NoFreeze,TotalComm_NoFreeze,AvgTFlops_NoFreeze,Accuracy_Freeze,TotalComm_Freeze,AvgTFlops_Freeze
1,19.61,20,1393240.0,24.7,20,1192640.0
2,45.25,40,1393240.0,36.64,40,1192640.0
3,53.42,60,1393240.0,46.33,60,1192640.0
4,59.550000000000004,80,1393240.0,54.04,80,1192640.0
5,68.60000000000001,100,1393240.0,55.64,100,1192640.0
6,63.73,120,1393240.0,60.660000000000004,120,1192640.0
7,68.65,140,1393240.0,62.519999999999996,140,1192640.0
8,67.34,160,1393240.0,64.03,160,1192640.0
9,73.7,180,1393240.0,65.92,180,1192640.0
10,69.73,200,1393240.0,68.97999999999999,200,1192640.0
11,76.25999999999999,220,1393240.0,70.11,220,1192640.0
12,73.69,240,1393240.0,70.21,240,1192640.0
13,77.79,260,1393240.0,73.96000000000001,260,1192640.0
14,75.79,280,1393240.0,74.1,280,1192640.0
15,79.36999999999999,300,1393240.0,74.97,300,1192640.0
16,71.97,320,1393240.0,77.06,320,1192640.0
17,75.07000000000001,340,1393240.0,77.4,340,1192640.0
18,72.03,360,1393240.0,78.22,360,1192640.0
19,77.83,380,1393240.0,77.73,380,1192640.0
20,75.38,400,1393240.0,79.5,400,1192640.0
21,77.8,420,1393240.0,80.28,420,1192640.0
22,72.16,440,1393240.0,81.55,440,1192640.0
23,75.87,460,1393240.0,80.72,460,1192640.0
24,67.36,480,1393240.0,81.36,480,1192640.0
25,71.22,500,1393240.0,80.67,500,1192640.0
26,68.14,520,1393240.0,83.03,520,1192640.0
27,78.93,540,1393240.0,81.35,540,1192640.0
28,79.79,560,1393240.0,83.98,560,1192640.0
29,83.8,580,1393240.0,82.33,580,1192640.0
30,84.41,600,1393240.0,84.26,600,1192640.0
31,85.82,620,1393240.0,83.58,620,1192640.0
32,83.26,640,1393240.0,83.93,640,1192640.0
33,83.94,660,1393240.0,83.24000000000001,660,1192640.0
34,77.46,680,1393240.0,85.2,680,1192640.0
35,80.51,700,1393240.0,81.71000000000001,700,1192640.0
36,75.12,720,1393240.0,85.44,720,1192640.0
