Round,Accuracy,TotalComm,AvgTFlops
1,20.93,4,0
2,21.099999999999998,8,0
3,21.099999999999998,12,0
4,21.12,16,0
5,21.12,20,0
6,21.12,24,0
7,9.76,28,0
8,21.12,32,0
9,38.07,36,0
10,25.21,40,0
11,32.99,44,0
12,32.15,48,0
13,33.89,52,0
14,39.379999999999995,56,0
15,38.29,60,0
16,38.800000000000004,64,0
17,23.549999999999997,68,0
18,38.22,72,0
19,40.050000000000004,76,0
20,44.2,80,0
21,39.65,84,0
22,28.749999999999996,88,0
23,35.13,92,0
24,42.63,96,0
25,29.53,100,0
26,45.92,104,0
27,48.8,108,0
28,50.03999999999999,112,0
29,49.769999999999996,116,0
30,53.74,120,0
31,51.55,124,0
32,37.669999999999995,128,0
33,43.5,132,0
34,46.0,136,0
35,53.900000000000006,140,0
36,52.92,144,0
37,55.52,148,0
38,57.36,152,0
39,39.24,156,0
40,46.67,160,0
41,56.82000000000001,164,0
42,55.13,168,0
43,55.58,172,0
44,56.730000000000004,176,0
45,64.31,180,0
46,62.09,184,0
47,59.47,188,0
48,59.650000000000006,192,0
49,59.29,196,0
50,68.41000000000001,200,0
51,66.36999999999999,204,0
52,67.41,208,0
53,71.44,212,0
54,32.33,216,0
55,58.589999999999996,220,0
56,65.52,224,0
57,52.5,228,0
58,49.0,232,0
59,58.57,236,0
60,64.89,240,0
61,40.6,244,0
62,60.589999999999996,248,0
63,62.260000000000005,252,0
64,67.43,256,0
65,66.34,260,0
66,68.11,264,0
67,64.28,268,0
68,68.08999999999999,272,0
69,69.56,276,0
70,66.97999999999999,280,0
71,68.01,284,0
72,66.83,288,0
73,58.48,292,0
74,67.29,296,0
75,69.24,300,0
76,68.96,304,0
77,66.11,308,0
78,72.39,312,0
79,77.49000000000001,316,0
80,73.87,320,0
81,60.78,324,0
82,66.47999999999999,328,0
83,56.57,332,0
84,69.57,336,0
85,67.91,340,0
86,63.81,344,0
87,61.56,348,0
88,58.9,352,0
89,56.910000000000004,356,0
90,55.43,360,0
91,54.379999999999995,364,0
92,55.559999999999995,368,0
93,64.09,372,0
94,64.68,376,0
95,71.27,380,0
96,65.07,384,0
97,60.870000000000005,388,0
98,58.52,392,0
99,68.94,396,0
100,63.27,400,0
