Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Accuracy - SVD,Total communication counts - SVD,Selected Clients,GRC Weight - Loss - SVD,GRC Weight - Diff - SVD
1,19.98,4,"4,1",0.356310382,0.643689618,19.08,4,"4,0",0.405314078,0.594685922
2,9.85,8,"5,4",0.391424177,0.608575823,19.33,8,"4,0",0.659162006,0.340837994
3,16.71,12,"4,5",0.654139334,0.345860666,19.43,12,"4,0",0.599772143,0.400227857
4,17.47,16,"5,4",0.617536837,0.382463163,19.51,16,"4,0",0.624373748,0.375626252
5,17.73,20,"4,5",0.754434037,0.245565963,19.52,20,"4,0",0.551505371,0.448494629
6,10.6,24,"0,5",0.570565312,0.429434688,19.53,24,"4,0",0.548681422,0.451318578
7,19.48,28,"4,0",0.59502491,0.40497509,20.86,28,"3,0",0.509817851,0.490182149
8,19.49,32,"4,0",0.595429835,0.404570165,19.54,32,"0,4",0.60493606,0.39506394
9,19.54,36,"4,0",0.601858442,0.398141558,20.96,36,"5,4",0.50290844,0.49709156
10,26.02,40,"1,0",0.53296317,0.46703683,31.19,40,"9,8",0.391809531,0.608190469
11,27.71,44,"1,4",0.565274537,0.434725463,21.07,44,"1,0",0.482312364,0.517687636
12,29.25,48,"3,0",0.500433907,0.499566093,23.3,48,"2,4",0.435191574,0.564808426
13,29.78,52,"4,1",0.625969054,0.374030946,15.99,52,"7,0",0.478374466,0.521625534
14,30.02,56,"0,4",0.669172629,0.330827371,19.53,56,"4,0",0.596762846,0.403237154
15,24.51,60,"6,1",0.466958483,0.533041517,10.1,60,"3,9",0.462838995,0.537161005
16,30.67,64,"4,0",0.618536908,0.381463092,25.59,64,"4,0",0.66086286,0.33913714
17,27.99,68,"8,1",0.441580238,0.558419762,10.16,68,"9,3",0.37290591,0.62709409
18,30.97,72,"2,4",0.497816561,0.502183439,19.47,72,"0,3",0.736056799,0.263943201
19,32.41,76,"9,7",0.404131456,0.595868544,26.78,76,"4,3",0.583105682,0.416894318
20,8.92,80,"5,8",0.370311681,0.629688319,21.12,80,"5,0",0.514731838,0.485268162
21,19.78,84,"5,1",0.613375908,0.386624092,22.95,84,"5,4",0.46791001,0.53208999
22,22.17,88,"4,8",0.480387347,0.519612653,18.68,88,"0,8",0.493887336,0.506112664
23,30.31,92,"0,1",0.60102036,0.39897964,14.12,92,"8,3",0.355755987,0.644244013
24,25.07,96,"5,2",0.487926695,0.512073305,28.37,96,"4,0",0.631768465,0.368231535
25,27.99,100,"1,3",0.506828281,0.493171719,18.65,100,"9,3",0.319365733,0.680634267
26,30.2,104,"0,3",0.70315082,0.29684918,28.59,104,"4,0",0.720839492,0.279160508
