Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s),Accuracy - LoRA,Elapsed Time (s) - LoRA,Accuracy - New SVD,Elapsed Time (s) - New SVD,Accuracy - Old SVD,Elapsed Time (s) - Old  SVD
1,23.65,20,"0,1,2,3,4,5,6,7,8,9",NA,NA,1.44,19.98,1.2,19.1,0.49,19.08,1.28
2,37.34,40,"0,1,2,3,4,5,6,7,8,9",NA,NA,2.85,9.85,2.33,19.32,1.73,19.33,2.51
3,37.79,60,"0,1,2,3,4,5,6,7,8,9",NA,NA,4.27,16.71,3.47,26.15,2.92,19.43,3.76
4,37.73,80,"0,1,2,3,4,5,6,7,8,9",NA,NA,5.67,17.47,4.6,20.98,4.13,19.51,4.99
5,37.96,100,"0,1,2,3,4,5,6,7,8,9",NA,NA,7.08,17.73,5.76,29.36,5.34,19.52,6.22
6,38.44,120,"0,1,2,3,4,5,6,7,8,9",NA,NA,8.48,10.6,6.89,29.49,6.52,19.53,7.44
7,39.02,140,"0,1,2,3,4,5,6,7,8,9",NA,NA,9.88,19.48,8.04,22.66,7.72,20.86,8.66
8,39.62,160,"0,1,2,3,4,5,6,7,8,9",NA,NA,11.3,19.49,9.18,30.38,8.77,19.54,9.88
9,40.13,180,"0,1,2,3,4,5,6,7,8,9",NA,NA,12.73,19.54,10.32,20.36,9.99,20.96,11.09
10,40.7,200,"0,1,2,3,4,5,6,7,8,9",NA,NA,14.15,26.02,11.48,29.76,11.09,31.19,12.08
11,41.33,220,"0,1,2,3,4,5,6,7,8,9",NA,NA,15.61,27.71,12.66,30.58,12.3,21.07,13.36
12,41.86,240,"0,1,2,3,4,5,6,7,8,9",NA,NA,17.05,29.25,13.77,30.55,13.57,23.3,14.6
13,42.32,260,"0,1,2,3,4,5,6,7,8,9",NA,NA,18.46,29.78,14.91,29.28,14.8,15.99,15.72
14,43.08,280,"0,1,2,3,4,5,6,7,8,9",NA,NA,19.89,30.02,16.05,30.72,15.99,19.53,16.94
15,43.15,300,"0,1,2,3,4,5,6,7,8,9",NA,NA,21.3,24.51,17.12,30.63,17.17,10.1,18.07
16,43.59,320,"0,1,2,3,4,5,6,7,8,9",NA,NA,22.72,30.67,18.31,29.7,18.37,25.59,19.32
17,43.96,340,"0,1,2,3,4,5,6,7,8,9",NA,NA,24.14,27.99,19.36,30.76,19.57,10.16,20.49
