Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s),Accuracy - LoRA,Elapsed Time (s) - LoRA
1,19.98,4,"4,1",0.356310382,0.643689618,1.2,19.98,1.44
2,9.85,8,"5,4",0.391424177,0.608575823,2.33,9.85,2.85
3,16.71,12,"4,5",0.654139334,0.345860666,3.47,16.71,4.27
4,17.47,16,"5,4",0.617536837,0.382463163,4.6,17.47,5.67
5,17.73,20,"4,5",0.754434037,0.245565963,5.76,17.73,7.08
6,10.6,24,"0,5",0.570565312,0.429434688,6.89,10.6,8.48
7,19.48,28,"4,0",0.59502491,0.40497509,8.04,19.48,9.88
8,19.49,32,"4,0",0.595429835,0.404570165,9.18,19.49,11.3
9,19.54,36,"4,0",0.601858442,0.398141558,10.32,19.54,12.73
10,26.02,40,"1,0",0.53296317,0.46703683,11.48,26.02,14.15
11,27.71,44,"1,4",0.565274537,0.434725463,12.66,27.71,15.61
12,29.25,48,"3,0",0.500433907,0.499566093,13.77,29.25,17.05
13,29.78,52,"4,1",0.625969054,0.374030946,14.91,29.78,18.46
14,30.02,56,"0,4",0.669172629,0.330827371,16.05,30.02,19.89
15,24.51,60,"6,1",0.466958483,0.533041517,17.12,24.51,21.3
16,30.67,64,"4,0",0.618536908,0.381463092,18.31,30.67,22.72
17,27.99,68,"8,1",0.441580238,0.558419762,19.36,27.99,24.14
18,30.97,72,"2,4",0.497816561,0.502183439,20.51,30.97,25.53
19,32.41,76,"9,7",0.404131456,0.595868544,21.43,32.41,26.93
20,8.92,80,"5,8",0.370311681,0.629688319,22.48,8.92,28.34
21,19.78,84,"5,1",0.613375908,0.386624092,23.65,19.78,29.77
22,22.17,88,"4,8",0.480387347,0.519612653,24.72,22.17,31.19
23,30.31,92,"0,1",0.60102036,0.39897964,25.95,30.31,32.59
24,25.07,96,"5,2",0.487926695,0.512073305,27.08,25.07,34
25,27.99,100,"1,3",0.506828281,0.493171719,28.28,27.99,35.41
26,30.2,104,"0,3",0.70315082,0.29684918,29.45,30.2,36.83
27,27.71,108,"6,4",0.435968292,0.564031708,30.5,27.71,38.23
28,33.89,112,"5,1",0.558994169,0.441005831,31.68,33.89,39.66
29,33.03,116,"4,2",0.577920746,0.422079254,32.84,33.03,41.1
30,35.04,120,"0,5",0.590319487,0.409680513,33.99,35.04,42.54
31,36.2,124,"6,9",0.3677829,0.6322171,34.91,36.2,43.97
32,10.32,128,"8,2",0.342483881,0.657516119,35.97,10.32,45.4
33,19.23,132,"2,0",0.625619595,0.374380405,37.12,19.23,46.85
34,28.79,136,"1,2",0.556543144,0.443456856,38.29,28.79,48.26
35,30.01,140,"3,0",0.491337753,0.508662247,39.48,30.01,49.67
36,36.22,144,"5,4",0.427830298,0.572169702,40.62,36.22,51.11
37,33.23,148,"8,1",0.478824659,0.521175341,41.7,33.23,52.54
38,30.08,152,"5,4",0.589651027,0.410348973,42.89,30.08,53.95
39,36.56,156,"2,0",0.539342264,0.460657736,44.07,36.56,55.37
40,38.44,160,"1,3",0.515314127,0.484685873,45.28,38.44,56.82
41,36.84,164,"4,2",0.530247228,0.469752772,46.44,36.84,58.26
42,35.92,168,"3,1",0.538840265,0.461159735,47.65,35.92,59.65
43,36.31,172,"5,0",0.543360025,0.456639975,48.85,36.31,61.05
44,31.7,176,"6,4",0.416941688,0.583058312,49.89,31.7,62.48
45,37.09,180,"5,3",0.508952643,0.491047357,51.02,37.09,63.9
46,40.87,184,"1,4",0.532730763,0.467269237,52.19,40.87,65.34
47,37.59,188,"5,0",0.540631225,0.459368775,53.34,37.59,66.76
48,37.38,192,"9,7",0.465043113,0.534956887,54.26,37.38,68.17
