Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
1,19.98,4,"4,1",0.3563103818981513,0.6436896181018487
2,9.85,8,"5,4",0.3914241773074524,0.6085758226925476
3,16.71,12,"4,5",0.6541393337959274,0.3458606662040727
4,17.47,16,"5,4",0.6175368373589342,0.38246316264106583
5,17.73,20,"4,5",0.7544340367480591,0.24556596325194097
6,10.6,24,"0,5",0.5705653116330699,0.4294346883669301
7,19.48,28,"4,0",0.5950249104088526,0.40497508959114736
8,19.49,32,"4,0",0.5954298350226109,0.40457016497738907
9,19.54,36,"4,0",0.6018584423147192,0.39814155768528076
10,26.02,40,"1,0",0.5329631704025133,0.4670368295974867
11,27.71,44,"1,4",0.5652745371846358,0.43472546281536417
12,29.25,48,"3,0",0.5004339074054399,0.4995660925945601
13,29.78,52,"4,1",0.6259690536317039,0.3740309463682961
14,30.020000000000003,56,"0,4",0.6691726290235246,0.33082737097647535
15,24.51,60,"6,1",0.4669584832965018,0.5330415167034982
16,30.669999999999998,64,"4,0",0.6185369081659494,0.38146309183405064
17,27.99,68,"8,1",0.4415802384153244,0.5584197615846757
18,30.97,72,"2,4",0.49781656113355816,0.5021834388664418
19,32.41,76,"9,7",0.40413145601746164,0.5958685439825383
20,8.92,80,"5,8",0.37031168147108945,0.6296883185289106
21,19.78,84,"5,1",0.6133759076740117,0.38662409232598827
22,22.17,88,"4,8",0.4803873474056007,0.5196126525943993
23,30.31,92,"0,1",0.6010203601080337,0.3989796398919663
24,25.069999999999997,96,"5,2",0.4879266945144767,0.5120733054855233
25,27.99,100,"1,3",0.5068282805689287,0.49317171943107124
26,30.2,104,"0,3",0.7031508203592698,0.29684917964073027
27,27.71,108,"6,4",0.4359682915723655,0.5640317084276345
28,33.89,112,"5,1",0.5589941694273108,0.4410058305726892
29,33.03,116,"4,2",0.5779207456535168,0.42207925434648325
30,35.04,120,"0,5",0.5903194869368525,0.4096805130631475
31,36.199999999999996,124,"6,9",0.36778289975720757,0.6322171002427924
32,10.32,128,"8,2",0.34248388105115246,0.6575161189488475
33,19.23,132,"2,0",0.6256195948502405,0.3743804051497594
34,28.79,136,"1,2",0.55654314368804,0.44345685631196
35,30.009999999999998,140,"3,0",0.4913377531725354,0.5086622468274645
36,36.22,144,"5,4",0.4278302976541556,0.5721697023458444
37,33.23,148,"8,1",0.47882465885995357,0.5211753411400464
38,30.080000000000002,152,"5,4",0.5896510272329871,0.4103489727670129
39,36.559999999999995,156,"2,0",0.5393422640133324,0.4606577359866676
40,38.440000000000005,160,"1,3",0.5153141267975849,0.4846858732024151
41,36.84,164,"4,2",0.5302472279227175,0.46975277207728244
42,35.92,168,"3,1",0.5388402653457078,0.46115973465429216
43,36.309999999999995,172,"5,0",0.5433600253014758,0.45663997469852424
44,31.7,176,"6,4",0.41694168785614755,0.5830583121438524
45,37.09,180,"5,3",0.5089526427350425,0.4910473572649575
46,40.87,184,"1,4",0.5327307630496788,0.46726923695032124
47,37.59,188,"5,0",0.5406312251348483,0.4593687748651517
48,37.38,192,"9,7",0.4650431129486072,0.5349568870513928
49,11.3,196,"8,3",0.3144419478777995,0.6855580521222004
50,25.629999999999995,200,"0,3",0.5976075786871012,0.40239242131289876
51,34.96,204,"5,1",0.4784969310118201,0.5215030689881799
52,30.97,208,"0,5",0.6507544193475469,0.34924558065245315
53,32.89,212,"3,5",0.5017790906507487,0.49822090934925134
54,38.29,216,"1,2",0.48531037272699884,0.5146896272730012
55,34.04,220,"4,5",0.603487155056616,0.396512844943384
56,36.809999999999995,224,"2,0",0.5481944450657235,0.45180555493427654
57,35.13,228,"4,1",0.5521206300584289,0.44787936994157107
58,43.76,232,"3,2",0.45394597452864105,0.546054025471359
59,40.43,236,"1,5",0.5913845161430155,0.40861548385698454
60,37.46,240,"4,3",0.5859028130640372,0.4140971869359628
61,39.660000000000004,244,"0,1",0.5573394279526753,0.4426605720473247
62,39.12,248,"4,3",0.6393257951395929,0.36067420486040713
63,33.31,252,"0,7",0.4851204613400114,0.5148795386599886
64,39.06,256,"5,3",0.4970448534523937,0.5029551465476063
65,49.85,260,"6,8",0.3373182612497585,0.6626817387502415
66,18.05,264,"3,7",0.30539305314170495,0.694606946858295
67,38.96,268,"4,0",0.49604477866498137,0.5039552213350186
68,14.41,272,"5,9",0.3340537201205645,0.6659462798794354
69,37.96,276,"1,4",0.5382521910761368,0.4617478089238632
70,37.269999999999996,280,"0,4",0.6485668121101392,0.3514331878898608
71,39.75,284,"3,0",0.4909036154530661,0.509096384546934
72,39.75,288,"3,1",0.6563923177399449,0.34360768226005506
73,18.09,292,"8,2",0.38160960143147016,0.6183903985685298
74,40.27,296,"0,4",0.6133090852111003,0.38669091478889966
75,43.56,300,"3,2",0.56626786201038,0.43373213798961996
76,30.97,304,"0,2",0.5098096377074989,0.4901903622925012
77,43.75,308,"1,4",0.6063375179919067,0.39366248200809334
78,44.35,312,"2,5",0.46012266052495143,0.5398773394750486
79,44.800000000000004,316,"0,4",0.5306173010503196,0.46938269894968043
80,41.05,320,"0,5",0.598514665136518,0.40148533486348204
81,43.0,324,"1,3",0.473524578744421,0.526475421255579
82,44.25,328,"2,5",0.44459091834045494,0.5554090816595451
83,45.0,332,"4,3",0.5774628484679731,0.4225371515320268
84,46.050000000000004,336,"2,1",0.5780216028519837,0.42197839714801627
85,40.36,340,"2,0",0.6437032452537224,0.35629675474627764
86,46.14,344,"4,1",0.610466109120678,0.389533890879322
87,46.82,348,"3,5",0.5048613878356984,0.49513861216430155
88,39.86,352,"0,6",0.4784761067879988,0.5215238932120012
89,21.82,356,"7,2",0.4122886328979079,0.587711367102092
90,48.27,360,"1,4",0.49454101897705954,0.5054589810229404
91,47.9,364,"5,3",0.4274632025073777,0.5725367974926223
92,24.02,368,"2,8",0.46338327930137013,0.5366167206986299
93,44.34,372,"3,4",0.6135568223214203,0.3864431776785797
94,22.82,376,"6,2",0.4046081071363316,0.5953918928636684
95,48.96,380,"1,0",0.6220758868402537,0.37792411315974633
96,45.33,384,"3,2",0.4878832340873034,0.5121167659126966
97,50.19,388,"5,4",0.5038667266929051,0.4961332733070949
98,42.17,392,"2,5",0.5046116196522764,0.4953883803477236
99,46.489999999999995,396,"3,4",0.593665866888224,0.4063341331117761
100,27.05,400,"8,5",0.4347908530901069,0.5652091469098931
101,43.419999999999995,404,"0,2",0.49945520300661295,0.500544796993387
102,45.519999999999996,408,"4,5",0.5665407967642617,0.4334592032357382
103,49.13,412,"3,1",0.48317122581306854,0.5168287741869314
104,52.25,416,"8,9",0.3215114409491494,0.6784885590508506
105,24.82,420,"2,7",0.34581880950364685,0.6541811904963531
106,51.76,424,"0,1",0.46620864891245073,0.5337913510875493
107,47.07,428,"5,3",0.385279125510534,0.614720874489466
108,40.38,432,"0,5",0.516302120917518,0.48369787908248196
109,52.76,436,"2,4",0.4326761948803242,0.5673238051196758
110,48.480000000000004,440,"1,3",0.5101289176672398,0.48987108233276017
111,33.129999999999995,444,"2,9",0.3850554502786805,0.6149445497213195
112,30.330000000000002,448,"5,7",0.47249966748046773,0.5275003325195323
113,47.48,452,"1,0",0.48161129117275314,0.5183887088272469
114,43.2,456,"5,2",0.5896568413626825,0.4103431586373176
115,47.53,460,"8,4",0.29923301000314695,0.700766989996853
116,48.71,464,"3,0",0.5243609205967867,0.4756390794032132
117,55.25,468,"8,6",0.2579716911040901,0.7420283088959099
118,46.98,472,"3,2",0.3081804238784817,0.6918195761215182
119,49.18,476,"4,0",0.5212019438425045,0.47879805615749554
120,46.01,480,"2,4",0.4917073580721114,0.5082926419278886
121,32.629999999999995,484,"7,5",0.3843343051552956,0.6156656948447043
122,50.470000000000006,488,"0,1",0.6017887124373357,0.3982112875626644
123,37.45,492,"3,9",0.3773841891736198,0.6226158108263802
124,51.04,496,"2,4",0.5005287954398419,0.49947120456015814
125,57.230000000000004,500,"7,9",0.3429790676295313,0.6570209323704687
126,27.72,504,"6,5",0.35388063797950453,0.6461193620204955
127,50.690000000000005,508,"4,3",0.4780022015565367,0.5219977984434633
128,55.33,512,"1,0",0.47523237386312117,0.5247676261368788
129,37.43,516,"8,2",0.3647563331105025,0.6352436668894975
130,51.459999999999994,520,"5,4",0.5145636808245355,0.48543631917546454
131,36.53,524,"3,6",0.43809768226139606,0.561902317738604
132,49.64,528,"2,0",0.4533136884268942,0.5466863115731058
133,53.47,532,"5,4",0.4158774564845837,0.5841225435154163
134,48.84,536,"3,2",0.4236424630739984,0.5763575369260017
135,51.43,540,"1,2",0.5982481499396515,0.40175185006034847
136,52.28,544,"0,5",0.5727132976822751,0.427286702317725
137,53.010000000000005,548,"8,4",0.3896716558462982,0.6103283441537019
138,67.58999999999999,552,"7,6",0.29935582990177856,0.7006441700982214
139,48.16,556,"5,2",0.3459513906773301,0.6540486093226698
140,54.67999999999999,560,"4,3",0.3314875700160983,0.6685124299839017
141,53.18000000000001,564,"0,2",0.510048637849866,0.48995136215013396
142,50.74999999999999,568,"1,3",0.5073769313502916,0.4926230686497084
143,51.53,572,"5,2",0.33366001749510515,0.6663399825048949
144,52.7,576,"3,4",0.39232203577709623,0.6076779642229038
145,50.22,580,"2,5",0.46799211083461384,0.5320078891653862
146,50.77,584,"8,0",0.4138647302816247,0.5861352697183754
147,50.74999999999999,588,"5,4",0.6361011669179981,0.3638988330820019
148,37.269999999999996,592,"8,3",0.3497638959395953,0.6502361040604048
149,51.72,596,"2,1",0.42124650657718865,0.5787534934228113
150,51.980000000000004,600,"5,2",0.5322277023828949,0.46777229761710515
151,53.190000000000005,604,"4,3",0.43702692338947025,0.5629730766105298
152,38.690000000000005,608,"6,5",0.3275396534450273,0.6724603465549727
153,50.31,612,"1,4",0.6168105715357272,0.3831894284642729
154,60.81999999999999,616,"8,9",0.34036455606510196,0.659635443934898
155,53.339999999999996,620,"4,3",0.2985046624947154,0.7014953375052846
156,52.11,624,"2,5",0.41246581181114583,0.5875341881888542
157,55.65,628,"0,1",0.6222556650428184,0.3777443349571816
158,52.76,632,"4,3",0.523495737513792,0.47650426248620803
159,52.81,636,"1,5",0.539920433705778,0.460079566294222
160,53.09,640,"3,2",0.5019674949560481,0.4980325050439519
161,52.800000000000004,644,"5,1",0.5524203454641294,0.44757965453587056
162,42.870000000000005,648,"3,9",0.41308757354024944,0.5869124264597506
163,54.33,652,"2,0",0.4756246745228053,0.5243753254771947
164,52.739999999999995,656,"3,5",0.45754931286766853,0.5424506871323315
165,49.32,660,"1,5",0.5177023125701371,0.4822976874298629
166,50.57000000000001,664,"0,3",0.5563680546248174,0.4436319453751825
167,55.25,668,"4,2",0.5168033729414863,0.4831966270585137
168,43.01,672,"8,5",0.3875329711597282,0.6124670288402718
169,52.23,676,"2,0",0.5477235264521582,0.45227647354784184
170,42.89,680,"3,6",0.3604144028958855,0.6395855971041146
171,39.76,684,"5,6",0.571537973100285,0.4284620268997151
172,44.01,688,"2,8",0.43173831247605776,0.5682616875239422
173,50.39,692,"0,5",0.4822165458296573,0.5177834541703428
174,42.25,696,"3,8",0.3904352359715131,0.6095647640284869
175,55.22,700,"5,1",0.37390979717383926,0.6260902028261608
176,46.75,704,"6,2",0.40685976529294426,0.5931402347070557
177,52.580000000000005,708,"3,5",0.48754892285436374,0.5124510771456363
178,53.959999999999994,712,"4,7",0.29194482849457554,0.7080551715054245
179,42.32,716,"9,5",0.21700858226443606,0.7829914177355639
180,52.5,720,"3,0",0.5431724020973132,0.45682759790268684
181,45.68,724,"2,7",0.4599858266906263,0.5400141733093736
182,55.35,728,"1,5",0.5768024684286941,0.4231975315713059
183,46.300000000000004,732,"3,9",0.3871283253064627,0.6128716746935373
184,54.669999999999995,736,"5,0",0.4955396245911142,0.5044603754088858
185,44.57,740,"8,3",0.36527067538834695,0.634729324611653
186,53.690000000000005,744,"4,1",0.5582413778442907,0.4417586221557092
187,52.949999999999996,748,"3,2",0.6009524392665251,0.3990475607334749
188,45.800000000000004,752,"5,7",0.34096846776851597,0.659031532231484
189,56.18,756,"4,0",0.5231041750586571,0.4768958249413428
190,55.33,760,"3,2",0.4036526012472362,0.5963473987527638
191,57.68,764,"7,1",0.4071802113827419,0.592819788617258
