Round,Accuracy_high_loss_x,Comm_high_loss_x,Accuracy_high_loss_y,Comm_high_loss_y,Accuracy_high_loss,Comm_high_loss
1,11.35,4,9.8,4,14.82,4
2,11.35,4,8.92,4,17.72,4
3,8.92,4,13.05,4,10.15,4
4,10.100000000000001,4,10.32,4,10.6,4
5,21.98,4,9.84,4,8.93,4
6,9.82,4,17.11,4,9.81,4
7,13.96,4,9.86,4,9.370000000000001,4
8,25.069999999999997,4,22.37,4,21.37,4
9,8.92,4,10.75,4,28.12,4
10,10.100000000000001,4,20.43,4,11.65,4
11,10.32,4,19.900000000000002,4,10.42,4
12,10.77,4,14.24,4,16.08,4
13,26.919999999999998,4,11.04,4,9.02,4
14,29.29,4,17.32,4,10.23,4
15,20.200000000000003,4,22.54,4,21.94,4
16,25.44,4,20.599999999999998,4,37.01,4
17,12.85,4,12.9,4,40.760000000000005,4
18,10.37,4,25.779999999999998,4,13.370000000000001,4
19,35.33,4,24.57,4,32.18,4
20,55.97,4,14.940000000000001,4,29.9,4
21,27.57,4,15.190000000000001,4,37.62,4
22,24.52,4,18.970000000000002,4,10.96,4
23,11.12,4,14.95,4,13.96,4
24,8.92,4,19.18,4,10.54,4
25,14.41,4,22.2,4,20.349999999999998,4
26,16.900000000000002,4,24.240000000000002,4,9.45,4
27,37.1,4,31.830000000000002,4,40.44,4
28,40.410000000000004,4,31.4,4,12.68,4
29,27.48,4,17.93,4,13.77,4
30,16.99,4,31.44,4,12.959999999999999,4
31,34.56,4,11.709999999999999,4,31.64,4
32,17.5,4,19.84,4,37.059999999999995,4
33,56.76,4,28.860000000000003,4,31.4,4
34,15.620000000000001,4,19.72,4,46.98,4
35,40.58,4,25.240000000000002,4,20.580000000000002,4
36,16.939999999999998,4,23.400000000000002,4,45.9,4
37,9.6,4,30.48,4,47.02,4
38,44.32,4,26.5,4,55.19,4
39,48.82,4,31.3,4,45.839999999999996,4
40,58.14,4,40.92,4,59.099999999999994,4
41,33.900000000000006,4,36.78,4,28.139999999999997,4
42,41.980000000000004,4,35.6,4,52.42,4
43,52.05,4,26.97,4,41.3,4
44,65.51,4,29.160000000000004,4,56.769999999999996,4
45,49.44,4,35.78,4,40.9,4
46,52.019999999999996,4,40.36,4,55.43,4
47,47.870000000000005,4,52.07000000000001,4,53.290000000000006,4
48,55.61000000000001,4,41.63,4,57.440000000000005,4
49,30.61,4,32.28,4,26.93,4
50,17.01,4,59.08,4,25.929999999999996,4
51,46.11,4,46.51,4,24.79,4
52,15.14,4,51.94,4,43.01,4
53,27.150000000000002,4,53.94,4,30.97,4
54,52.33,4,52.900000000000006,4,48.26,4
55,51.24999999999999,4,54.74,4,40.88,4
56,61.86000000000001,4,50.7,4,53.74,4
57,18.39,4,59.37,4,63.349999999999994,4
58,33.160000000000004,4,52.629999999999995,4,48.64,4
59,63.91,4,55.57,4,59.27,4
60,17.599999999999998,4,44.45,4,37.97,4
61,35.42,4,47.48,4,59.160000000000004,4
62,63.3,4,35.29,4,62.849999999999994,4
63,36.18,4,39.17,4,57.74,4
64,63.4,4,36.75,4,64.38000000000001,4
65,47.72,4,41.86,4,58.720000000000006,4
66,33.050000000000004,4,43.86,4,71.05,4
67,58.620000000000005,4,43.03,4,52.39,4
68,62.56,4,48.71,4,61.8,4
69,44.79,4,50.54,4,31.7,4
70,64.11,4,37.29,4,51.62,4
71,43.730000000000004,4,49.74,4,60.51,4
72,69.43,4,52.910000000000004,4,54.25,4
73,69.6,4,62.7,4,60.150000000000006,4
74,74.63,4,62.25000000000001,4,70.59,4
75,43.97,4,52.44,4,39.73,4
76,71.61,4,64.19,4,61.67,4
77,52.25,4,61.31999999999999,4,70.34,4
78,31.869999999999997,4,63.44,4,58.879999999999995,4
79,42.66,4,58.18,4,72.53,4
80,66.10000000000001,4,73.31,4,54.620000000000005,4
81,72.49,4,65.62,4,49.370000000000005,4
82,43.53,4,74.46000000000001,4,50.239999999999995,4
83,72.13000000000001,4,57.34,4,62.56,4
84,70.93,4,74.69,4,76.92,4
85,73.13,4,65.42,4,71.89999999999999,4
86,46.42,4,71.95,4,77.61,4
87,70.67999999999999,4,74.02,4,57.599999999999994,4
88,82.1,4,62.150000000000006,4,53.300000000000004,4
89,49.96,4,70.05,4,49.32,4
90,75.14999999999999,4,79.06,4,58.879999999999995,4
91,73.72999999999999,4,72.52,4,68.03,4
92,49.79,4,68.77,4,73.05,4
93,68.75,4,74.17,4,67.88,4
