Round,LoRA_Accuracy,LoRA_Comm,LoRA_Loss,LoRA_SelectedClients,LoRA_TFLOPs,Original_Accuracy,Original_Comm,Original_Loss,Original_SelectedClients,Original_TFLOPs
1,14.75,4,2.592427859291101,"[6, 1]",0.0012463791258594918,11.96,4.0,2.876507508488128,"[9, 3]",0.003010208069314
2,11.98,4,3.0427358691303876,"[9, 7]",0.001180223121302194,13.58,4.0,3.441854009232201,"[0, 5]",0.0029053227707317
3,19.75,8,4.068764148047938,"[7, 1]",0.0014850002407836153,9.8,6.0,3.9544279232573585,"[2, 0]",0.0030825420894639
4,12.629999999999999,8,3.9813538443166228,"[2, 1]",0.001176891510515173,17.97,4.0,3.5552243714134533,"[7, 6]",0.0034888185573221
5,13.18,4,3.0339861190357147,"[8, 4]",0.001227119404267844,11.48,6.0,3.697893214301941,"[9, 1]",0.003459865706224
6,12.23,6,3.86804652975771,"[4, 0]",0.0012014807423631124,17.380000000000003,10.0,3.9669691777457823,"[0, 6]",0.0035482027029787
7,18.86,8,3.4049897026330136,"[6, 9]",0.0012586077512452831,19.36,6.0,3.221346571803474,"[4, 3]",0.003518260064135
8,9.92,6,3.4375059612261984,"[3, 0]",0.001430236080960549,17.24,14.0,3.788719235898588,"[6, 0]",0.0028217517265651
9,16.54,10,3.5025939514842657,"[9, 2]",0.0012190462502923976,15.17,12.0,3.7956307551350457,"[9, 3]",0.0039055158557377
10,14.549999999999999,12,3.8575172904200445,"[0, 6]",0.0012739918032085562,18.21,12.0,3.90566698278482,"[6, 7]",0.0037729757248868
11,9.700000000000001,10,3.84270553619336,"[6, 5]",0.00137595319339934,19.4,16.0,5.022245835953246,"[7, 6]",0.003459865706224
12,18.41,18,3.998347911590966,"[6, 9]",0.0012867710419753086,16.32,20.0,4.812532586411546,"[6, 9]",0.0035406693639065
13,19.02,14,3.5071407308974587,"[0, 4]",0.001146154825017182,19.25,14.0,3.846802593420108,"[0, 4]",0.0027610186596026
14,12.16,16,3.723939846879758,"[7, 0]",0.0012947634086956522,21.44,14.0,3.6570802138636287,"[2, 9]",0.0035256982460887
15,21.060000000000002,20,3.4759352732771123,"[1, 0]",0.0012691440414003045,13.83,8.0,3.5029673203111837,"[5, 1]",0.0037141542770601
16,12.55,10,2.9426694190540252,"[2, 8]",0.0012501163946026987,11.16,10.0,2.8473805215792916,"[8, 7]",0.0030156514835443
17,18.11,12,3.286256370453027,"[3, 2]",0.001197168176884422,18.08,20.0,3.1568883181380007,"[2, 6]",0.0034815350112734
18,16.2,16,3.4151483313344158,"[5, 6]",0.0013266947258552108,17.01,16.0,3.213932559132195,"[3, 2]",0.0036174734715835
19,13.850000000000001,16,3.4583998914724723,"[2, 8]",0.001295769440870241,19.55,18.0,2.8506066700140127,"[4, 0]",0.0046323757511111
20,16.08,16,3.1599422118153435,"[4, 7]",0.0011661924967832167,19.57,16.0,3.4413177304374525,"[7, 5]",0.0025344305021276
21,20.830000000000002,16,2.878246530557212,"[3, 1]",0.001271078712195122,18.11,20.0,4.6628409605056715,"[7, 5]",0.0037475399334831
22,20.119999999999997,22,3.5506330130580133,"[4, 2]",0.0012947634086956522,13.85,14.0,3.188659389178974,"[8, 3]",0.0027980793127516
23,10.190000000000001,18,3.286413572085932,"[9, 3]",0.0013038743318217357,20.1,22.0,3.042940020180358,"[4, 0]",0.0030655427764705
24,18.04,24,3.588649855635037,"[3, 2]",0.0012576585749622927,25.629999999999995,24.0,3.1995989423209488,"[7, 2]",0.0044709256579088
25,19.91,26,3.0232377524573963,"[0, 9]",0.00123897122615156,24.75,22.0,3.3728191684991025,"[4, 3]",0.0028852167307958
26,24.55,22,3.00329797717329,"[7, 4]",0.0012119587720930232,14.37,26.0,3.159789091481949,"[5, 0]",0.0036813582128035
27,16.37,22,2.994708093210531,"[4, 8]",0.001424129180529462,17.72,28.0,3.3684493954570147,"[4, 6]",0.0036096434424242
28,20.94,30,2.722711348305114,"[0, 6]",0.0012119587720930232,25.180000000000003,32.0,3.183650064773072,"[3, 0]",0.0037141542770601
29,23.89,28,3.1195223080083583,"[7, 2]",0.0015105573101449276,25.36,34.0,3.8336305686841,"[3, 6]",0.0020819666297128
30,22.32,36,3.597143062768272,"[0, 2]",0.0012576585749622927,27.6,26.0,3.371781041446966,"[2, 4]",0.0042326275898477
31,17.05,30,3.3167929580798163,"[0, 8]",0.0010224741081545064,24.88,18.0,2.396754439265583,"[9, 8]",0.0030156514835443
32,20.02,22,2.952402509058626,"[6, 5]",0.0012463791258594918,21.98,32.0,3.0468444001560395,"[3, 2]",0.0037559803387387
33,20.0,20,3.135301042288637,"[1, 5]",0.0012701106400609292,32.37,36.0,2.4929171553054177,"[6, 7]",0.0036491362590809
34,31.89,36,2.8005470132675416,"[0, 7]",0.0012049532300578035,20.96,30.0,3.1458253045432483,"[5, 7]",0.0034173263737704
35,26.640000000000004,24,2.604785684198617,"[8, 3]",0.0013658110322686322,21.6,30.0,2.8556026806846595,"[9, 2]",0.0029463874035335
36,30.65,34,2.582153882843237,"[4, 6]",0.001281825726671791,27.27,42.0,2.481460806279898,"[0, 6]",0.0043770479538057
37,27.99,44,2.730780867341989,"[0, 6]",0.00126146389591528,21.65,38.0,3.379125516635541,"[6, 5]",0.0029939950994614
38,31.130000000000003,30,2.2169836412984343,"[7, 9]",0.0014049328310025274,26.76,34.0,2.6672207962590666,"[4, 2]",0.0036732494942731
39,24.8,34,2.4240313105689832,"[2, 3]",0.0012307418969741697,29.2,38.0,2.8194924516799733,"[4, 7]",0.0035482027029787
40,32.95,28,1.969801617506594,"[1, 8]",0.0012353002002962962,27.63,46.0,2.784880138052919,"[4, 6]",0.003459865706224
