Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
1,17.57,4,"0,5",0.49973992081839347,0.5002600791816065
2,24.3,8,"4,0",0.3218534718653331,0.6781465281346669
3,41.03,12,"0,1",0.6808971118278888,0.3191028881721112
4,46.94,16,"1,0",0.5320764804876897,0.4679235195123102
5,51.25999999999999,20,"0,4",0.5504659840725098,0.4495340159274902
6,51.6,24,"5,0",0.40295215507773163,0.5970478449222684
7,57.54,28,"0,1",0.5553174658383518,0.4446825341616481
8,60.9,32,"1,0",0.5756914926042928,0.42430850739570725
9,60.74,36,"1,7",0.4723953207619579,0.5276046792380421
10,58.709999999999994,40,"1,5",0.3672698801729478,0.6327301198270522
11,64.95,44,"1,7",0.6118922587933058,0.3881077412066942
12,69.53,48,"3,1",0.4617294626937839,0.5382705373062161
13,60.28,52,"6,9",0.3672673243589804,0.6327326756410195
14,66.29,56,"5,0",0.35725355110917417,0.6427464488908259
15,68.86,60,"6,1",0.5133541736267629,0.48664582637323706
16,72.74000000000001,64,"7,6",0.5012467753737946,0.49875322462620547
17,72.36,68,"7,1",0.3842335500068113,0.6157664499931886
18,73.59,72,"1,0",0.39557981035443696,0.604420189645563
19,71.21,76,"7,0",0.47265736629847527,0.5273426337015247
20,70.37,80,"0,9",0.4564126136335154,0.5435873863664846
21,73.14,84,"0,7",0.7277248681229728,0.27227513187702723
22,75.68,88,"1,7",0.6073501193589134,0.3926498806410867
23,78.01,92,"1,0",0.3927211187046555,0.6072788812953445
24,77.92,96,"0,1",0.4035901616137558,0.5964098383862442
25,78.34,100,"1,7",0.5657289104755369,0.43427108952446314
26,81.69,104,"2,0",0.4204263911688757,0.5795736088311243
27,74.29,108,"2,6",0.654443124351246,0.34555687564875404
28,80.30000000000001,112,"6,0",0.6296167054087642,0.37038329459123576
29,84.55,116,"4,2",0.4658821114049543,0.5341178885950457
30,81.58999999999999,120,"0,7",0.3383050893156195,0.6616949106843806
31,82.3,124,"0,6",0.545865077648746,0.45413492235125397
32,85.46000000000001,128,"6,7",0.5282247108633331,0.47177528913666694
33,83.61,132,"3,0",0.47296724955484565,0.5270327504451544
34,84.8,136,"3,1",0.42290241453565397,0.5770975854643461
