Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s)
1,19.1,4,"0,4",0.4770872745317075,0.5229127254682925,0.49
2,19.32,8,"4,0",0.6152454784188574,0.38475452158114265,1.73
3,26.150000000000002,12,"1,4",0.5706508755681506,0.4293491244318494,2.92
4,20.979999999999997,16,"0,1",0.5912786964232137,0.4087213035767862,4.13
5,29.360000000000003,20,"4,0",0.5619998917541222,0.43800010824587776,5.34
6,29.49,24,"1,4",0.5327300546482435,0.4672699453517564,6.52
7,22.66,28,"9,0",0.43753263726289116,0.5624673627371088,7.72
8,30.380000000000003,32,"4,1",0.5316557162865582,0.4683442837134419,8.77
9,20.36,36,"8,4",0.3758250682736986,0.6241749317263015,9.99
10,29.759999999999998,40,"1,0",0.6778416073893865,0.3221583926106135,11.09
11,30.580000000000002,44,"4,0",0.616788678718729,0.383211321281271,12.3
12,30.55,48,"1,4",0.644465645692259,0.35553435430774105,13.57
13,29.28,52,"0,1",0.5352313012723626,0.46476869872763743,14.8
14,30.72,56,"4,0",0.5812625839367098,0.4187374160632901,15.99
15,30.630000000000003,60,"1,4",0.5639913433559706,0.43600865664402944,17.17
16,29.7,64,"0,1",0.6019551733404853,0.39804482665951474,18.37
17,30.759999999999998,68,"4,0",0.6277305095007427,0.3722694904992573,19.57
18,30.709999999999997,72,"4,1",0.5823381702961686,0.4176618297038313,20.72
19,29.549999999999997,76,"9,0",0.4947431852388999,0.5052568147611001,21.9
20,30.740000000000002,80,"4,1",0.523077071621507,0.47692292837849304,22.95
21,30.669999999999998,84,"4,1",0.6194839640888776,0.3805160359111224,24.13
22,30.769999999999996,88,"0,4",0.6339860506675686,0.36601394933243137,25.32
23,30.19,92,"0,1",0.6159592912524611,0.384040708747539,26.49
24,30.759999999999998,96,"4,1",0.5681145209188234,0.4318854790811766,27.7
25,30.769999999999996,100,"0,4",0.6386666143355486,0.36133338566445145,28.94
26,30.72,104,"0,4",0.6562215497474153,0.34377845025258463,30.11
27,30.380000000000003,108,"0,1",0.6824426624498379,0.31755733755016213,31.28
28,30.769999999999996,112,"4,1",0.5950341606981149,0.4049658393018851,32.54
29,30.78,116,"4,1",0.6120697015186805,0.38793029848131955,33.81
30,30.78,120,"0,4",0.5649837095806325,0.4350162904193675,35.01
31,30.380000000000003,124,"0,1",0.6199727467894264,0.3800272532105736,36.22
32,30.43,128,"8,4",0.4346796052898061,0.5653203947101939,37.46
33,30.28,132,"8,1",0.43699293995098687,0.5630070600490131,38.52
