Local Epochs,Round,Accuracy
1,1,9.8
1,2,10.100000000000001
1,3,9.8
1,4,9.8
1,5,9.8
1,6,9.8
1,7,9.8
1,8,9.8
1,9,9.8
1,10,9.8
1,11,9.8
1,12,9.8
1,13,9.8
1,14,9.8
1,15,9.8
1,16,9.8
1,17,9.8
1,18,9.8
1,19,11.35
1,20,11.35
1,21,9.82
1,22,9.82
1,23,9.58
1,24,9.58
1,25,9.74
1,26,9.74
1,27,9.74
1,28,9.74
1,29,9.74
1,30,9.74
1,31,9.74
1,32,9.74
1,33,9.74
1,34,9.74
1,35,9.74
1,36,9.74
1,37,9.8
1,38,9.8
1,39,11.35
1,40,11.35
1,41,9.82
1,42,9.82
1,43,9.58
1,44,9.58
1,45,9.58
1,46,9.58
1,47,9.58
1,48,9.58
1,49,9.58
1,50,9.58
1,51,9.58
1,52,9.58
1,53,9.58
1,54,9.58
1,55,9.74
1,56,9.74
1,57,9.8
1,58,9.8
1,59,11.35
1,60,11.35
1,61,9.82
1,62,9.82
1,63,9.82
1,64,9.82
1,65,9.82
1,66,9.82
1,67,9.82
1,68,9.82
1,69,9.82
1,70,9.82
1,71,9.82
1,72,9.82
1,73,9.58
1,74,9.58
1,75,9.74
1,76,9.74
1,77,9.8
1,78,9.8
1,79,11.35
1,80,11.35
1,81,11.35
1,82,11.35
1,83,11.35
1,84,11.35
1,85,11.35
1,86,11.35
1,87,11.35
1,88,11.35
1,89,11.35
1,90,11.35
1,91,9.82
1,92,9.82
1,93,9.58
1,94,9.58
1,95,9.74
1,96,9.74
1,97,9.8
1,98,9.8
1,99,9.8
1,100,9.8
1,101,9.8
1,102,9.8
1,103,9.8
1,104,9.8
1,105,9.8
1,106,9.8
1,107,9.8
1,108,9.8
1,109,11.35
1,110,11.35
1,111,9.82
1,112,9.82
1,113,9.58
1,114,9.58
1,115,9.74
1,116,9.74
1,117,9.74
1,118,9.74
1,119,9.74
1,120,9.74
1,121,9.74
1,122,9.74
1,123,9.74
1,124,9.74
1,125,9.74
1,126,9.74
1,127,9.8
1,128,9.8
1,129,11.35
1,130,11.35
1,131,9.82
1,132,9.82
1,133,9.58
1,134,9.58
1,135,9.58
1,136,9.58
1,137,9.58
1,138,9.58
1,139,9.58
1,140,9.58
1,141,9.58
1,142,9.58
1,143,9.58
1,144,9.58
1,145,9.74
1,146,9.74
1,147,9.8
1,148,9.8
1,149,11.35
1,150,11.35
1,151,9.82
1,152,9.82
1,153,9.82
1,154,9.82
1,155,9.82
1,156,9.82
1,157,9.82
1,158,9.82
1,159,9.82
1,160,9.82
1,161,9.82
1,162,9.82
1,163,9.58
1,164,9.58
1,165,9.74
1,166,9.74
1,167,9.8
1,168,9.8
1,169,11.35
1,170,11.35
1,171,11.35
1,172,11.35
1,173,11.35
1,174,11.35
1,175,11.35
1,176,11.35
1,177,11.35
1,178,11.35
1,179,11.35
1,180,11.35
1,181,9.82
1,182,9.82
1,183,9.58
1,184,9.58
1,185,9.74
1,186,9.74
1,187,9.8
1,188,9.8
1,189,9.8
1,190,9.8
1,191,9.8
