Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
1,14.469999999999999,4,"0,3",0.345012502501004,0.654987497498996
2,18.2,8,"0,3",0.345012502501004,0.654987497498996
3,18.89,12,"0,3",0.7156344240428401,0.28436557595715994
4,19.07,16,"0,3",0.7156344240428401,0.28436557595715994
5,19.139999999999997,20,"0,3",0.6119513260720044,0.3880486739279956
6,19.2,24,"0,3",0.6119513260720044,0.3880486739279956
7,16.39,28,"8,0",0.5592168840881603,0.44078311591183966
8,18.29,32,"8,0",0.5592168840881603,0.44078311591183966
9,18.96,36,"0,3",0.6765251849838801,0.32347481501611985
10,19.33,40,"0,3",0.6765251849838801,0.32347481501611985
11,23.990000000000002,44,"8,0",0.5649321213939633,0.43506787860603663
12,18.96,48,"8,0",0.5649321213939633,0.43506787860603663
13,20.549999999999997,52,"2,3",0.5419392381513509,0.4580607618486491
14,21.66,56,"2,3",0.5419392381513509,0.4580607618486491
15,20.41,60,"5,8",0.5318239523679023,0.4681760476320977
16,14.62,64,"5,8",0.5318239523679023,0.4681760476320977
17,23.51,68,"9,6",0.4837781261638171,0.5162218738361829
18,20.330000000000002,72,"9,6",0.4837781261638171,0.5162218738361829
19,25.82,76,"1,4",0.4837781261638171,0.5162218738361829
20,19.2,80,"1,4",0.4837781261638171,0.5162218738361829
21,27.71,84,"7,0",0.4837781261638171,0.5162218738361829
22,20.64,88,"7,0",0.4837781261638171,0.5162218738361829
23,25.240000000000002,92,"0,3",0.6092354691626067,0.3907645308373932
24,19.7,96,"0,3",0.6092354691626067,0.3907645308373932
25,34.22,100,"8,2",0.5326930406645678,0.46730695933543215
26,25.590000000000003,104,"8,2",0.5326930406645678,0.46730695933543215
27,35.23,108,"5,9",0.41072801531746134,0.5892719846825387
28,18.740000000000002,112,"5,9",0.41072801531746134,0.5892719846825387
29,31.5,116,"6,4",0.3486551715176744,0.6513448284823257
30,19.68,120,"6,4",0.3486551715176744,0.6513448284823257
31,43.41,124,"7,1",0.3336377482545941,0.666362251745406
32,22.6,128,"7,1",0.3336377482545941,0.666362251745406
33,43.25,132,"3,8",0.43927832157056773,0.5607216784294322
34,20.94,136,"3,8",0.43927832157056773,0.5607216784294322
35,42.089999999999996,140,"2,0",0.5252114240348554,0.4747885759651446
36,21.88,144,"2,0",0.5252114240348554,0.4747885759651446
37,31.830000000000002,148,"0,9",0.5793489510158888,0.42065104898411115
38,21.45,152,"0,9",0.5793489510158888,0.42065104898411115
39,26.150000000000002,156,"0,8",0.6040016642276667,0.3959983357723334
40,19.07,160,"0,8",0.6040016642276667,0.3959983357723334
41,26.729999999999997,164,"0,3",0.6146496027177724,0.3853503972822276
42,21.029999999999998,168,"0,3",0.6146496027177724,0.3853503972822276
43,25.490000000000002,172,"0,8",0.6144740598226753,0.38552594017732467
44,21.26,176,"0,8",0.6144740598226753,0.38552594017732467
