Round,Accuracy,Total communication counts,Selected Clients
1,48.6,4,"3,4"
2,61.45,4,"3,4"
3,65.35,4,"3,4"
4,79.23,4,"7,9"
5,84.43,4,"7,9"
6,83.6,4,"7,9"
7,87.31,4,"5,6"
8,89.08,4,"5,6"
9,88.42,4,"5,6"
10,88.44999999999999,4,"1,0"
11,89.3,4,"1,0"
12,89.14999999999999,4,"1,0"
13,90.41,4,"7,5"
14,90.55,4,"7,5"
15,90.78,4,"7,5"
16,91.11,4,"1,2"
17,90.86,4,"1,2"
18,90.2,4,"1,2"
19,91.56,4,"6,7"
20,91.36,4,"6,7"
21,91.36999999999999,4,"6,7"
22,91.61,4,"2,1"
23,91.01,4,"2,1"
24,91.47,4,"2,1"
25,92.10000000000001,4,"7,5"
26,91.88,4,"7,5"
27,91.77,4,"7,5"
28,92.36,4,"1,0"
29,92.17999999999999,4,"1,0"
30,92.17999999999999,4,"1,0"
31,92.62,4,"5,6"
32,92.01,4,"5,6"
33,92.96,4,"5,6"
34,93.47999999999999,4,"0,2"
35,93.42,4,"0,2"
36,93.27,4,"0,2"
37,93.5,4,"6,7"
38,93.35,4,"6,7"
39,93.38,4,"6,7"
40,93.25,4,"2,1"
41,93.37,4,"2,1"
42,93.42,4,"2,1"
43,94.1,4,"8,6"
44,94.14,4,"8,6"
45,94.08999999999999,4,"8,6"
46,94.13,4,"2,3"
47,94.35,4,"2,3"
48,94.61,4,"2,3"
49,93.63,4,"8,9"
50,93.88,4,"8,9"
51,94.07,4,"8,9"
52,94.57,4,"4,5"
53,94.04,4,"4,5"
54,94.3,4,"4,5"
55,94.59,4,"0,9"
56,94.15,4,"0,9"
57,94.23,4,"0,9"
58,94.44,4,"4,5"
59,94.66,4,"4,5"
60,94.45,4,"4,5"
61,94.72,4,"9,0"
62,94.82000000000001,4,"9,0"
63,94.51,4,"9,0"
64,94.84,4,"5,6"
65,94.89,4,"5,6"
66,94.89999999999999,4,"5,6"
67,95.00999999999999,4,"1,0"
68,95.00999999999999,4,"1,0"
69,94.94,4,"1,0"
70,95.16,4,"7,6"
71,95.39999999999999,4,"7,6"
72,95.39999999999999,4,"7,6"
73,95.38,4,"2,3"
74,95.52000000000001,4,"2,3"
75,95.36,4,"2,3"
76,95.34,4,"8,9"
77,95.32000000000001,4,"8,9"
78,95.19999999999999,4,"8,9"
79,95.57,4,"2,3"
80,95.25,4,"2,3"
81,95.66,4,"2,3"
82,95.52000000000001,4,"8,7"
83,95.56,4,"8,7"
84,95.5,4,"8,7"
85,95.62,4,"3,1"
86,95.89,4,"3,1"
87,95.78,4,"3,1"
88,95.49,4,"6,5"
89,95.67,4,"6,5"
90,95.59,4,"6,5"
91,95.43,4,"0,9"
92,95.30999999999999,4,"0,9"
93,95.39,4,"0,9"
94,95.87,4,"4,5"
95,95.87,4,"4,5"
96,95.67,4,"4,5"
97,95.83,4,"0,8"
98,95.76,4,"0,8"
99,96.05,4,"0,8"
100,96.0,4,"6,3"
101,96.17,4,"6,3"
102,96.23,4,"6,3"
103,95.69,4,"9,2"
104,96.13000000000001,4,"9,2"
105,96.15,4,"9,2"
106,96.21,4,"4,7"
107,96.23,4,"4,7"
108,96.11,4,"4,7"
109,95.96000000000001,4,"0,1"
110,96.04,4,"0,1"
111,95.92,4,"0,1"
112,96.19,4,"5,6"
113,95.97,4,"5,6"
114,96.16,4,"5,6"
115,96.34,4,"2,9"
116,96.17999999999999,4,"2,9"
117,96.09,4,"2,9"
118,96.41999999999999,4,"6,4"
119,96.17,4,"6,4"
120,96.17,4,"6,4"
121,95.47,4,"0,9"
122,96.12,4,"0,9"
123,95.93,4,"0,9"
124,96.17999999999999,4,"4,3"
125,96.48,4,"4,3"
126,96.41,4,"4,3"
127,96.22,4,"8,9"
128,96.33,4,"8,9"
129,96.31,4,"8,9"
130,96.56,4,"5,2"
131,96.37,4,"5,2"
132,96.54,4,"5,2"
133,96.55,4,"8,7"
134,96.38,4,"8,7"
135,96.43,4,"8,7"
136,96.71,4,"3,1"
137,96.73,4,"3,1"
138,96.77,4,"3,1"
139,96.72,4,"6,7"
140,96.81,4,"6,7"
141,96.77,4,"6,7"
142,96.33,4,"2,0"
143,96.41,4,"2,0"
144,96.41,4,"2,0"
145,96.8,4,"6,4"
146,96.67,4,"6,4"
147,96.59,4,"6,4"
148,96.28999999999999,4,"9,0"
149,96.45,4,"9,0"
150,96.41,4,"9,0"
151,96.69,4,"5,4"
152,96.6,4,"5,4"
153,96.55,4,"5,4"
154,96.39999999999999,4,"8,9"
155,96.58,4,"8,9"
156,96.57,4,"8,9"
157,96.65,4,"3,5"
158,96.59,4,"3,5"
159,96.6,4,"3,5"
160,96.67,4,"0,8"
161,96.75,4,"0,8"
162,96.61,4,"0,8"
163,96.82,4,"4,6"
164,96.7,4,"4,6"
165,96.91,4,"4,6"
166,96.66,4,"1,2"
167,96.56,4,"1,2"
168,96.56,4,"1,2"
169,96.83,4,"7,8"
170,96.83,4,"7,8"
171,96.84,4,"7,8"
172,96.91,4,"3,1"
