Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s),Parameter Usage,FLOPs
1,17.07,4,"4,5",0.4486823779532821,0.551317622046718,2.09,55360,2810100000
2,11.92,8,"6,8",0.3864972366606256,0.6135027633393745,4.19,110720,5620200000
3,19.96,12,"2,1",0.44243113715556015,0.5575688628444398,6.26,166080,8430300000
4,17.8,16,"6,4",0.37034749180392174,0.6296525081960783,8.35,221440,11240400000
5,12.64,20,"7,2",0.5336192231822731,0.466380776817727,10.46,276800,14050500000
6,10.32,24,"8,2",0.5661916561192553,0.43380834388074474,12.55,332160,16860600000
7,11.379999999999999,28,"6,3",0.35779352205474535,0.6422064779452547,14.64,387520,19670700000
8,17.49,32,"3,4",0.3566324719767933,0.6433675280232067,16.74,442880,22480800000
9,9.82,36,"4,9",0.34738512123459503,0.652614878765405,18.83,498240,25290900000
10,16.91,40,"6,5",0.47972873068402133,0.5202712693159787,20.91,553600,28101000000
11,20.07,44,"8,1",0.24509343472592898,0.754906565274071,23.01,608960,30911100000
12,9.92,48,"8,0",0.4444529373181892,0.5555470626818109,25.09,664320,33721200000
13,17.78,52,"9,7",0.2885189093536216,0.7114810906463783,27.17,719680,36531300000
14,11.64,56,"2,0",0.5094773434443053,0.49052265655569477,29.27,775040,39341400000
15,17.06,60,"3,8",0.3029543602648593,0.6970456397351408,31.36,830400,42151500000
16,20.51,64,"3,1",0.3590871125514347,0.6409128874485652,33.44,885760,44961600000
17,12.120000000000001,68,"5,3",0.3309019388746389,0.6690980611253611,35.52,941120,47771700000
18,18.47,72,"3,7",0.5286811226786388,0.47131887732136124,37.59,996480,50581800000
19,18.08,76,"0,6",0.4524331806725363,0.5475668193274636,39.68,1051840,53391900000
20,18.9,80,"3,7",0.42719620291064536,0.5728037970893546,41.75,1107200,56202000000
21,15.76,84,"2,5",0.5028055198443746,0.49719448015562534,43.84,1162560,59012100000
22,19.39,88,"3,7",0.3875503839123458,0.6124496160876541,45.94,1217920,61822200000
23,19.68,92,"6,8",0.4020813439193616,0.5979186560806383,48.04,1273280,64632300000
24,18.82,96,"3,0",0.5636180686921186,0.4363819313078814,50.14,1328640,67442400000
25,17.59,100,"2,9",0.36346176811785413,0.6365382318821459,52.21,1384000,70252500000
26,16.63,104,"3,5",0.42161062818536355,0.5783893718146365,54.31,1439360,73062600000
27,11.07,108,"9,4",0.4810573430946659,0.518942656905334,56.39,1494720,75872700000
28,19.6,112,"5,1",0.5417562819874634,0.45824371801253666,58.48,1550080,78682800000
29,19.7,116,"4,3",0.28455077008608287,0.7154492299139171,60.58,1605440,81492900000
30,18.77,120,"6,8",0.43934265168463393,0.5606573483153661,62.66,1660800,84303000000
31,18.86,124,"0,8",0.3038433620261939,0.6961566379738061,64.75,1716160,87113100000
32,28.720000000000002,128,"1,3",0.39975934282393705,0.600240657176063,66.82,1771520,89923200000
33,23.599999999999998,132,"5,9",0.5293980796866794,0.4706019203133206,68.91,1826880,92733300000
34,20.76,136,"4,9",0.3646561484208923,0.6353438515791077,71.0,1882240,95543400000
35,21.349999999999998,140,"4,6",0.4533760814905476,0.5466239185094524,73.09,1937600,98353500000
36,19.009999999999998,144,"4,0",0.4872086301886085,0.5127913698113915,75.17,1992960,101163600000
37,22.64,148,"4,9",0.47228592134660524,0.5277140786533948,77.23,2048320,103973700000
38,26.93,152,"1,9",0.35909798573312823,0.6409020142668718,79.33,2103680,106783800000
39,27.939999999999998,156,"5,4",0.5329783301993638,0.46702166980063614,81.41,2159040,109593900000
40,33.300000000000004,160,"4,7",0.6857005645108192,0.3142994354891808,83.5,2214400,112404000000
41,28.970000000000002,164,"4,9",0.5399665906355511,0.4600334093644489,85.6,2269760,115214100000
42,13.889999999999999,168,"5,8",0.6850893032481894,0.3149106967518106,87.69,2325120,118024200000
43,23.3,172,"7,6",0.6580295085042895,0.34197049149571046,89.79,2380480,120834300000
44,36.809999999999995,176,"0,3",0.6326510757983045,0.36734892420169546,91.87,2435840,123644400000
45,28.03,180,"5,1",0.4996349968550161,0.5003650031449839,93.96,2491200,126454500000
46,30.78,184,"0,7",0.5382723494463246,0.4617276505536754,96.06,2546560,129264600000
47,30.620000000000005,188,"9,1",0.43074819872056824,0.5692518012794318,98.15,2601920,132074700000
48,30.769999999999996,192,"0,7",0.3316224256882386,0.6683775743117615,100.22,2657280,134884800000
49,29.86,196,"9,0",0.3480010435069108,0.6519989564930891,102.29,2712640,137694900000
50,34.71,200,"1,8",0.28906080092954983,0.7109391990704501,104.38,2768000,140505000000
51,30.509999999999998,204,"1,4",0.48633820469080574,0.5136617953091942,106.46,2823360,143315100000
52,31.16,208,"7,1",0.4149508966628414,0.5850491033371586,108.55,2878720,146125200000
53,30.95,212,"9,8",0.4679362301452386,0.5320637698547613,110.65,2934080,148935300000
54,33.660000000000004,216,"9,4",0.48692525094856365,0.5130747490514364,112.73,2989440,151745400000
55,34.56,220,"7,1",0.5058609285460195,0.49413907145398056,114.8,3044800,154555500000
56,30.53,224,"0,9",0.48481538937682694,0.515184610623173,116.88,3100160,157365600000
57,36.15,228,"8,3",0.6048544266000571,0.39514557339994294,118.98,3155520,160175700000
58,29.69,232,"2,8",0.5139275451497892,0.4860724548502107,121.06,3210880,162985800000
59,40.400000000000006,236,"6,9",0.3637521816949623,0.6362478183050376,123.15,3266240,165795900000
60,34.89,240,"0,4",0.4162361292185457,0.5837638707814543,125.23,3321600,168606000000
61,34.89,244,"3,5",0.5880392673862767,0.4119607326137233,127.33,3376960,171416100000
62,26.72,248,"9,8",0.63729705045067,0.3627029495493301,129.43,3432320,174226200000
63,23.86,252,"3,5",0.586872217892785,0.413127782107215,131.53,3487680,177036300000
64,18.18,256,"5,9",0.45567799927587815,0.5443220007241218,133.61,3543040,179846400000
65,26.51,260,"1,5",0.3427473562432236,0.6572526437567764,135.68,3598400,182656500000
66,32.800000000000004,264,"0,1",0.599193131721143,0.4008068682788571,137.77,3653760,185466600000
67,37.89,268,"8,4",0.49671562908824984,0.5032843709117502,139.86,3709120,188276700000
68,30.349999999999998,272,"8,4",0.2785785861574311,0.721421413842569,141.94,3764480,191086800000
69,34.81,276,"5,6",0.5752656014131877,0.4247343985868123,144.01,3819840,193896900000
70,29.599999999999998,280,"5,1",0.6846881770389391,0.31531182296106086,146.09,3875200,196707000000
71,40.82,284,"3,4",0.5035562197908072,0.4964437802091928,148.17,3930560,199517100000
72,43.71,288,"7,3",0.42891628272881777,0.5710837172711822,150.26,3985920,202327200000
73,46.089999999999996,292,"4,7",0.26597167160334734,0.7340283283966527,152.35,4041280,205137300000
74,44.48,296,"0,9",0.34622053955258836,0.6537794604474116,154.42,4096640,207947400000
75,41.85,300,"7,1",0.346843527389661,0.653156472610339,156.52,4152000,210757500000
76,50.46000000000001,304,"8,1",0.5376475312889593,0.46235246871104074,158.59,4207360,213567600000
77,46.5,308,"2,4",0.4651081247596949,0.5348918752403051,160.66,4262720,216377700000
78,39.85,312,"0,4",0.5180135890832377,0.48198641091676236,162.74,4318080,219187800000
79,52.14,316,"3,6",0.4708287197635097,0.5291712802364903,164.84,4373440,221997900000
80,43.89,320,"9,6",0.5619273946635867,0.43807260533641335,166.88,4428800,224808000000
81,55.230000000000004,324,"4,7",0.5430179171664764,0.45698208283352354,168.99,4484160,227618100000
82,44.29,328,"8,4",0.4268293972711916,0.5731706027288084,171.07,4539520,230428200000
83,47.36,332,"7,6",0.3673441604326803,0.6326558395673196,173.17,4594880,233238300000
84,50.23,336,"8,1",0.3679954497813498,0.6320045502186502,175.26,4650240,236048400000
85,43.19,340,"4,8",0.4572998253440367,0.5427001746559633,177.33,4705600,238858500000
86,49.01,344,"2,8",0.5043268121307766,0.4956731878692234,179.41,4760960,241668600000
87,49.58,348,"3,6",0.406154457986634,0.593845542013366,181.5,4816320,244478700000
88,51.300000000000004,352,"1,7",0.43200141231062605,0.567998587689374,183.59,4871680,247288800000
89,48.52,356,"3,1",0.4996589159046508,0.5003410840953493,185.67,4927040,250098900000
90,43.22,360,"5,9",0.4958711047176092,0.5041288952823908,187.74,4982400,252909000000
91,39.35,364,"5,6",0.2605675357451595,0.7394324642548405,189.83,5037760,255719100000
92,48.76,368,"8,5",0.3236701265932125,0.6763298734067875,191.92,5093120,258529200000
93,50.760000000000005,372,"0,6",0.5993565536541511,0.4006434463458489,194.0,5148480,261339300000
94,45.32,376,"6,1",0.40523790277225447,0.5947620972277455,196.1,5203840,264149400000
95,48.03,380,"4,8",0.5174283197295377,0.48257168027046227,198.19,5259200,266959500000
96,56.279999999999994,384,"3,8",0.597458792818005,0.402541207181995,200.28,5314560,269769600000
97,45.36,388,"0,9",0.6685609472817817,0.33143905271821833,202.36,5369920,272579700000
98,46.17,392,"5,3",0.5709003944338669,0.4290996055661331,204.46,5425280,275389800000
99,29.609999999999996,396,"4,5",0.5617128610890121,0.4382871389109879,206.54,5480640,278199900000
100,38.25,400,"9,8",0.36882217930724387,0.6311778206927562,208.63,5536000,281010000000
101,48.07,404,"4,9",0.3458371809322409,0.6541628190677591,210.72,5591360,283820100000
102,27.72,408,"8,9",0.5693570001961202,0.43064299980387977,212.81,5646720,286630200000
103,24.39,412,"8,4",0.39430225783892225,0.6056977421610777,214.88,5702080,289440300000
104,40.46,416,"8,2",0.6714657994147335,0.32853420058526644,216.97,5757440,292250400000
105,49.980000000000004,420,"7,3",0.4889496552973682,0.5110503447026318,219.06,5812800,295060500000
106,37.580000000000005,424,"5,7",0.36256180301419694,0.6374381969858031,221.14,5868160,297870600000
107,50.580000000000005,428,"9,1",0.4280269712494138,0.5719730287505862,223.23,5923520,300680700000
108,36.82,432,"4,5",0.5522466376484355,0.4477533623515645,225.31,5978880,303490800000
109,41.21,436,"3,4",0.573828512304278,0.42617148769572194,227.39,6034240,306300900000
110,50.519999999999996,440,"8,3",0.511282412207475,0.48871758779252505,229.46,6089600,309111000000
111,39.23,444,"1,5",0.2655862418278655,0.7344137581721345,231.53,6144960,311921100000
112,47.99,448,"8,6",0.33859810675906604,0.6614018932409339,233.62,6200320,314731200000
113,51.4,452,"3,2",0.42231558028475236,0.5776844197152476,235.71,6255680,317541300000
114,39.53,456,"3,4",0.6384873445075295,0.3615126554924704,237.78,6311040,320351400000
115,61.1,460,"7,0",0.5321333489029191,0.4678666510970809,239.87,6366400,323161500000
116,44.49,464,"2,5",0.717290849506916,0.282709150493084,241.96,6421760,325971600000
117,57.599999999999994,468,"0,6",0.48614817098879404,0.513851829011206,244.06,6477120,328781700000
